Client,i,Factorial
127.0.0.1:56522,7,5040
127.0.0.1:57034,6,720
127.0.0.1:57546,5,120
127.0.0.1:58058,4,24
127.0.0.1:60106,3,6
127.0.0.1:8395,2,2
127.0.0.1:3787,1,1
127.0.0.1:22218,20,2432902008176640000
127.0.0.1:19146,19,121645100408832000
127.0.0.1:24266,18,6402373705728000
127.0.0.1:35530,17,355687428096000
127.0.0.1:34506,16,20922789888000
127.0.0.1:26826,15,1307674368000
127.0.0.1:41674,14,87178291200
127.0.0.1:41162,13,6227020800
127.0.0.1:45770,12,479001600
127.0.0.1:51402,11,39916800
127.0.0.1:42186,10,3628800
127.0.0.1:42219,9,362880
127.0.0.1:56522,8,40320
127.0.0.1:57034,7,5040
127.0.0.1:57546,6,720
127.0.0.1:58058,5,120
127.0.0.1:60106,4,24
127.0.0.1:8395,3,6
127.0.0.1:3787,2,2
127.0.0.1:13519,1,1
127.0.0.1:19146,20,2432902008176640000
127.0.0.1:24266,19,121645100408832000
127.0.0.1:35530,18,6402373705728000
127.0.0.1:34506,17,355687428096000
127.0.0.1:26826,16,20922789888000
127.0.0.1:41674,15,1307674368000
127.0.0.1:41162,14,87178291200
127.0.0.1:45770,13,6227020800
127.0.0.1:51402,12,479001600
127.0.0.1:42186,11,39916800
127.0.0.1:42219,10,3628800
127.0.0.1:56522,9,362880
127.0.0.1:57034,8,40320
127.0.0.1:57546,7,5040
127.0.0.1:58058,6,720
127.0.0.1:60106,5,120
127.0.0.1:8395,4,24
127.0.0.1:3787,3,6
127.0.0.1:13519,2,2
127.0.0.1:9931,1,1
127.0.0.1:24266,20,2432902008176640000
127.0.0.1:35530,19,121645100408832000
127.0.0.1:34506,18,6402373705728000
127.0.0.1:26826,17,355687428096000
127.0.0.1:41674,16,20922789888000
127.0.0.1:41162,15,1307674368000
127.0.0.1:45770,14,87178291200
127.0.0.1:51402,13,6227020800
127.0.0.1:42186,12,479001600
127.0.0.1:42219,11,39916800
127.0.0.1:56522,10,3628800
127.0.0.1:57034,9,362880
127.0.0.1:57546,8,40320
127.0.0.1:58058,7,5040
