Client,i,Factorial
127.0.0.1:52917,6,720
127.0.0.1:9963,5,120
127.0.0.1:7862,5,120
127.0.0.1:36022,7,5040
127.0.0.1:29877,6,720
127.0.0.1:27831,6,720
127.0.0.1:28337,6,720
127.0.0.1:51378,5,120
127.0.0.1:47793,9,362880
127.0.0.1:23219,8,40320
127.0.0.1:60597,5,120
127.0.0.1:23217,6,720
127.0.0.1:46258,9,362880
127.0.0.1:12465,6,720
127.0.0.1:64180,6,720
127.0.0.1:15541,7,5040
127.0.0.1:47280,6,720
127.0.0.1:37078,6,720
127.0.0.1:43189,6,720
127.0.0.1:23222,6,720
127.0.0.1:9912,5,120
127.0.0.1:32470,5,120
127.0.0.1:47792,6,720
127.0.0.1:56534,7,5040
127.0.0.1:59056,5,120
127.0.0.1:46775,7,5040
127.0.0.1:56502,6,720
127.0.0.1:28338,9,362880
127.0.0.1:62642,9,362880
127.0.0.1:37047,7,5040
127.0.0.1:1208,6,720
127.0.0.1:42676,7,5040
127.0.0.1:5299,5,120
127.0.0.1:54964,7,5040
127.0.0.1:40631,6,720
127.0.0.1:58035,5,120
127.0.0.1:62647,6,720
127.0.0.1:61617,8,40320
127.0.0.1:20657,10,3628800
127.0.0.1:12979,6,720
127.0.0.1:59060,6,720
127.0.0.1:63669,7,5040
127.0.0.1:6840,6,720
127.0.0.1:32946,6,720
127.0.0.1:34997,7,5040
127.0.0.1:10418,8,40320
127.0.0.1:26803,8,40320
127.0.0.1:20612,5,120
127.0.0.1:21169,8,40320
127.0.0.1:18614,7,5040
127.0.0.1:45746,6,720
127.0.0.1:3713,7,5040
127.0.0.1:38067,9,362880
127.0.0.1:31920,6,720
127.0.0.1:15543,7,5040
127.0.0.1:34999,5,120
127.0.0.1:52458,6,720
127.0.0.1:19635,8,40320
127.0.0.1:63154,10,3628800
127.0.0.1:46258,10,3628800
127.0.0.1:50871,7,5040
127.0.0.1:9963,6,720
127.0.0.1:12956,8,40320
127.0.0.1:30390,7,5040
127.0.0.1:41169,8,40320
127.0.0.1:39604,7,5040
127.0.0.1:178,7,5040
127.0.0.1:56498,6,720
127.0.0.1:34485,6,720
127.0.0.1:32982,6,720
127.0.0.1:64689,6,720
127.0.0.1:11953,5,120
127.0.0.1:1234,8,40320
127.0.0.1:61618,6,720
127.0.0.1:52917,7,5040
127.0.0.1:42193,7,5040
127.0.0.1:33969,7,5040
127.0.0.1:62130,8,40320
127.0.0.1:11446,5,120
127.0.0.1:51895,5,120
127.0.0.1:29877,7,5040
127.0.0.1:65201,7,5040
127.0.0.1:36022,8,40320
127.0.0.1:7862,6,720
127.0.0.1:48305,6,720
127.0.0.1:47280,7,5040
127.0.0.1:27831,7,5040
127.0.0.1:64182,6,720
127.0.0.1:28337,7,5040
127.0.0.1:51378,6,720
127.0.0.1:47793,10,3628800
127.0.0.1:23219,9,362880
127.0.0.1:60597,6,720
127.0.0.1:23217,7,5040
127.0.0.1:12465,7,5040
127.0.0.1:15541,8,40320
127.0.0.1:64180,7,5040
127.0.0.1:37078,7,5040
127.0.0.1:11953,6,720
127.0.0.1:5299,6,720
127.0.0.1:9912,6,720
127.0.0.1:7862,7,5040
127.0.0.1:34485,7,5040
127.0.0.1:33969,8,40320
127.0.0.1:48305,7,5040
127.0.0.1:52458,7,5040
127.0.0.1:32982,7,5040
127.0.0.1:38067,10,3628800
127.0.0.1:27831,8,40320
127.0.0.1:61617,9,362880
127.0.0.1:46258,11,39916800
127.0.0.1:62647,7,5040
127.0.0.1:45746,7,5040
127.0.0.1:34999,6,720
127.0.0.1:11446,6,720
127.0.0.1:32470,6,720
127.0.0.1:30390,8,40320
127.0.0.1:58035,6,720
127.0.0.1:61618,7,5040
127.0.0.1:26803,9,362880
127.0.0.1:54964,8,40320
127.0.0.1:12956,9,362880
127.0.0.1:37078,8,40320
127.0.0.1:56498,7,5040
127.0.0.1:21169,9,362880
127.0.0.1:10418,9,362880
127.0.0.1:23219,10,3628800
127.0.0.1:15541,9,362880
127.0.0.1:178,8,40320
127.0.0.1:40631,7,5040
127.0.0.1:64180,8,40320
127.0.0.1:41169,9,362880
127.0.0.1:51378,7,5040
127.0.0.1:28337,8,40320
127.0.0.1:50871,8,40320
127.0.0.1:19635,9,362880
127.0.0.1:60597,7,5040
127.0.0.1:6840,7,5040
127.0.0.1:1234,9,362880
127.0.0.1:47280,8,40320
127.0.0.1:51895,6,720
127.0.0.1:12465,8,40320
127.0.0.1:59060,7,5040
